id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
61103,,,,12.55951600,-12.83020300,5.580,0.861,49.358300,-47.610416,-7.024335,-10.960596,G8III/IV,Crv
61116,,,,12.56081000,33.24758400,5.420,1.011,89.365500,-73.932974,-10.933510,48.995248,K0IIICN...,CVn
61124,Chara,Chara,8Bet CVn,12.56241100,41.35748000,4.240,0.588,8.439500,-6.266213,-0.929293,5.576481,G0V,CVn
61125,21    Vir,,21    Vir,12.56298600,-9.45207700,5.480,-0.035,79.239300,-77.315936,-11.478783,-13.012868,A0V,Vir
61166,Kraz,Kraz,9Bet Crv,12.57312100,-23.39675900,2.650,0.893,44.662800,-40.529889,-6.127261,-17.735390,G5II,Crv
61186,,,,12.57844800,-44.67301800,5.760,0.683,28.320600,-19.909271,-3.038241,-19.911191,G4IV,Cen
61191,6    Dra,,6    Dra,12.57890200,70.02177000,4.950,1.312,184.501800,-62.314914,-9.517033,173.398985,K2III,Dra
61202,Phyllon Kissinou,Phyllon Kissinou,23    Com,12.58085700,22.62925900,4.800,0.012,95.057000,-86.726287,-13.290876,36.574715,A0IV,Com
61225,24    Com,,24    Com,12.58548900,18.37705800,5.030,1.152,138.121500,-129.540840,-20.013080,43.545448,K2III,Com
61227,,,,12.58560200,21.88138400,5.860,1.242,195.694700,-179.466282,-27.731634,72.932687,K1III,Com
61275,,,,12.59598700,-41.02194500,5.120,0.224,35.524000,-26.475729,-4.164792,-23.316043,A7III,Cen
61305,,,,12.60028900,-39.86950500,5.780,0.003,72.780200,-55.170938,-8.742460,-46.655143,A0V,Cen
61365,25    Vir,,25    Vir,12.61315400,-5.83189800,5.880,0.072,69.013100,-67.773199,-10.973598,-7.012427,A3V,Vir
61378,25    Com,,25    Com,12.61620400,17.08953600,5.700,1.436,194.552500,-183.547736,-29.869795,57.172298,K5III,Com
61392,Alp Mus,,Alp Mus,12.61973900,-69.13556400,2.690,-0.176,96.711800,-33.992375,-5.563974,-90.370102,B2IV-V,Mus
61428,,,,12.62840900,-27.13888800,5.410,0.334,34.328900,-30.136903,-5.003271,-15.659090,F0V,Hya
61429,Tau Cen,,Tau Cen,12.62839400,-48.54130400,3.850,0.049,40.241400,-26.283342,-4.363283,-30.158275,A2V,Cen
61465,,,,12.63955700,1.85466200,5.680,1.592,151.057400,-148.866750,-25.161171,4.888863,M3III,Vir
61495,,,,12.64572600,-18.25010000,6.000,0.310,67.294800,-62.998630,-10.752575,-21.074370,F0V,Crv
61527,,,,12.65096200,-30.42238700,5.860,1.207,191.570900,-162.801428,-28.016557,-97.005838,K2/K3III,Hya
61531,26    Com,,26    Com,12.65203100,21.06255900,5.490,0.978,83.822300,-77.084954,-13.287805,30.124584,G9III,Com
61547,26Chi Vir,,26Chi Vir,12.65410200,-7.99556400,4.660,1.240,90.009000,-87.830127,-15.189098,-12.519906,K2III,Vir
61596,,,,12.66459400,-39.98730200,4.630,-0.082,111.856800,-84.409362,-14.836369,-71.881260,B8II/III,Cen
61717,,,,12.68776500,-13.01390100,5.170,0.432,78.926600,-75.656099,-13.771510,-17.773251,F3IV,Crv
